,bucket_year,style_id,Unnamed: 0,key_sin,key_cos,key_is_major,Key degree,avg_fifths_distance,nonbasic_edge_ratio,ext_any_ratio,Progression_template,cluster_id,intra_sd,cluster_size,song_title,performer,is_representative,major,is_new_style,Progression_blues,rep_source
0,1958,1,0.0,0.8660254037844387,-0.4999999999999998,1.0,4.0,1.8823529411764703,0.1764705882352941,0.16328125,BLUES-PLAGAL,0.0,0.0862019152533189,931.0,Goodbye Dad,The Castle Sisters,0.0,1.0,0.0,1.0,medoid
1,1958,2,1.0,-0.8660254037844384,-0.5000000000000004,1.0,8.0,1.7777777777777777,0.1111111111111111,0.127659574468085,BLUES-PLAGAL,1.0,0.0926930304961551,994.0,Patti Ann,Johnny Crawford,0.0,1.0,1.0,1.0,medoid
2,1958,3,2.0,0.0,1.0,1.0,0.0,2.0,0.2142857142857142,0.0976377952755905,BLUES-PLAGAL,2.0,0.0831447911264779,483.0,"Like, Long Hair",Paul Revere & The Raiders,1.0,1.0,0.0,1.0,medoid
3,1958,4,,-1.0,-1.8369701987210294e-16,0.0,9.0,2.272727272727273,0.0,0.0863708399366085,DESC-FIFTHS,,,169.0,Adam And Eve,Paul Anka,,,,,top1
4,1958,6,,0.8660254037844386,0.5000000000000001,0.0,2.0,1.5,0.0,0.2682730923694779,BLUES-PLAGAL,,,49.0,Lisa,Ferrante & Teicher,,,,,top1
5,1958,5,,0.8660254037844387,-0.4999999999999998,0.0,4.0,2.833333333333333,0.3333333333333333,0.0,TONIC-LOVERS,,,56.0,Deep In The Heart Of Texas,Duane Eddy,,,,,top1
6,1963,1,3.0,0.4999999999999999,-0.8660254037844387,1.0,5.0,1.75,0.125,0.1523404255319149,BLUES-PLAGAL,0.0,0.0929459272424401,1265.0,Where Love Has Gone,Jack Jones,0.0,1.0,0.0,1.0,medoid
7,1963,2,5.0,-1.0,-1.8369701987210294e-16,1.0,9.0,2.0,0.125,0.1166810717372514,BLUES-PLAGAL,2.0,0.0946293550575539,854.0,We Could,Al Martino,0.0,1.0,1.0,1.0,medoid
8,1963,3,4.0,0.4999999999999999,0.8660254037844387,1.0,1.0,1.9090909090909087,0.1818181818181818,0.0907643312101911,BLUES-PLAGAL,1.0,0.0847549469412274,1009.0,It's An Uphill Climb To The Bottom,Walter Jackson,0.0,1.0,0.0,1.0,medoid
9,1963,4,,-1.0,-1.8369701987210294e-16,0.0,9.0,1.5384615384615383,0.1538461538461538,0.1702127659574468,DESC-FIFTHS,,,229.0,"Eight Men, Four Women",O.V. Wright,,,,,top1
10,1963,6,,0.8660254037844386,0.5000000000000001,0.0,2.0,1.6,0.0666666666666666,0.1795886075949367,BLUES-PLAGAL,,,101.0,Music To Watch Girls By,Bob Crewe Generation,,,,,top1
11,1963,5,,0.8660254037844387,-0.4999999999999998,0.0,4.0,4.5,0.25,0.0,TONIC-LOVERS,,,103.0,I'm A Man,The Spencer Davis Group,,,,,top1
12,1968,1,8.0,0.8660254037844387,-0.4999999999999998,1.0,4.0,1.8888888888888888,0.1111111111111111,0.0628980891719744,BLUES-PLAGAL,2.0,0.0955687059334335,1159.0,Kiss An Angel Good Mornin',Charley Pride,0.0,1.0,0.0,1.0,medoid
13,1968,2,7.0,-1.0,-1.8369701987210294e-16,1.0,9.0,1.8,0.1333333333333333,0.1183673469387754,BLUES-PLAGAL,1.0,0.1039625700845521,1098.0,Where Did All The Good Times Go,Dennis Yost And The Classics IV,0.0,1.0,1.0,1.0,medoid
14,1968,3,6.0,0.0,1.0,1.0,0.0,1.9,0.1,0.1277310924369748,BLUES-PLAGAL,0.0,0.0933422824240725,527.0,Problem Child,Mark Lindsay,0.0,1.0,0.0,1.0,medoid
15,1968,4,,-1.0,-1.8369701987210294e-16,0.0,9.0,1.0,0.0,0.0713153724247226,DESC-FIFTHS,,,251.0,Viva Tirado - Part I,El Chicano,,,,,top1
16,1968,6,,0.8660254037844386,0.5000000000000001,0.0,2.0,1.3076923076923077,0.0,0.2056000000000001,BLUES-PLAGAL,,,155.0,Drummer Man,Nancy Sinatra,,,,,top1
17,1968,5,,0.8660254037844387,-0.4999999999999998,0.0,4.0,2.125,0.25,0.0,TONIC-LOVERS,,,99.0,Gotta See Jane,R. Dean Taylor,,,,,top1
18,1973,1,11.0,0.4999999999999999,-0.8660254037844387,1.0,5.0,1.9090909090909087,0.1818181818181818,0.0741410488245931,BLUES-PLAGAL,2.0,0.1067153115389485,885.0,Sing,Tony Orlando & Dawn,0.0,1.0,0.0,1.0,medoid
19,1973,2,9.0,-1.0,-1.8369701987210294e-16,1.0,9.0,2.0,0.1666666666666666,0.1090617481956695,BLUES-PLAGAL,0.0,0.0979926399311482,609.0,I'll Have To Say I Love You In A Song,Jim Croce,0.0,1.0,1.0,1.0,medoid
20,1973,3,10.0,0.4999999999999999,0.8660254037844387,1.0,1.0,1.9,0.1,0.0795734208367514,BLUES-PLAGAL,1.0,0.0917305043706113,750.0,Touch And Go,Al Wilson,0.0,1.0,0.0,1.0,medoid
21,1973,4,,-1.0,-1.8369701987210294e-16,0.0,9.0,2.0,0.0909090909090909,0.0,DESC-FIFTHS,,,233.0,Billion Dollar Babies,Alice Cooper,,,,,top1
22,1973,6,,0.8660254037844386,0.5000000000000001,0.0,2.0,2.0,0.0,0.1772046589018303,BLUES-PLAGAL,,,138.0,We're Gonna Have A Good Time,Rare Earth,,,,,top1
23,1973,5,,0.8660254037844387,-0.4999999999999998,0.0,4.0,2.6666666666666665,0.3333333333333333,0.0,TONIC-LOVERS,,,107.0,Reality,James Brown,,,,,top1
24,1978,1,12.0,0.8660254037844387,-0.4999999999999998,1.0,4.0,2.0,0.1428571428571428,0.0539452495974234,BLUES-PLAGAL,0.0,0.100658078294362,858.0,If You Want It,Niteflyte,0.0,1.0,0.0,1.0,medoid
25,1978,2,14.0,-1.0,-1.8369701987210294e-16,1.0,9.0,1.9375,0.125,0.121951219512195,BLUES-PLAGAL,2.0,0.1016277762527087,776.0,Goodbye To You,Scandal Featuring Patty Smyth,0.0,1.0,1.0,1.0,medoid
26,1978,3,13.0,0.0,1.0,1.0,0.0,1.9,0.2,0.0828640386162509,BLUES-PLAGAL,1.0,0.0882601473876687,358.0,Put Away Your Love,Alessi,0.0,1.0,0.0,1.0,medoid
27,1978,4,,-1.0,-1.8369701987210294e-16,0.0,9.0,1.7142857142857142,0.2857142857142857,0.0419968304278922,DESC-FIFTHS,,,227.0,The Elvis Medley,Elvis Presley,,,,,top1
28,1978,6,,0.8660254037844386,0.5000000000000001,0.0,2.0,1.0714285714285714,0.0,0.1674679487179488,BLUES-PLAGAL,,,114.0,Got To Have Loving,Don Ray,,,,,top1
29,1978,5,,0.8660254037844387,-0.4999999999999998,0.0,4.0,2.75,0.375,0.0,TONIC-LOVERS,,,92.0,I Loved 'em Every One,T.G. Sheppard,,,,,top1
30,1983,1,16.0,0.8660254037844386,0.5000000000000001,1.0,2.0,2.0,0.1333333333333333,0.0503842869342442,BLUES-PLAGAL,1.0,0.1011186139679102,873.0,Little Sheila,Slade,0.0,1.0,0.0,1.0,medoid
31,1983,2,17.0,-0.4999999999999997,-0.8660254037844388,1.0,7.0,1.9090909090909087,0.1818181818181818,0.0731132075471698,BLUES-PLAGAL,2.0,0.0827919491448782,689.0,Learning To Fly,Pink Floyd,1.0,1.0,1.0,1.0,medoid
32,1983,3,,0.0,1.0,1.0,0.0,2.0,0.2,0.1031249999999999,BLUES-PLAGAL,,,285.0,Voice Of America's Sons,John Cafferty & The Beaver Brown Band,,,,,top1
33,1983,4,15.0,-1.0,-1.8369701987210294e-16,0.0,9.0,1.7142857142857142,0.1428571428571428,0.0822669104204753,DESC-FIFTHS,0.0,0.0888887310270107,328.0,I Still Want You,The Del Fuegos,0.0,0.0,0.0,0.0,medoid
34,1983,6,,0.8660254037844386,0.5000000000000001,0.0,2.0,1.6666666666666667,0.0,0.2110726643598615,BLUES-PLAGAL,,,155.0,He Wants My Body,Starpoint,,,,,top1
35,1983,5,,0.8660254037844387,-0.4999999999999998,0.0,4.0,1.8333333333333333,0.1666666666666666,0.0431472081218274,TONIC-LOVERS,,,140.0,Lay Your Hands On Me,Thompson Twins,,,,,top1
