,tempo_bpm,time_signature,swing,bucket_year,cluster_id,intra_sd,cluster_size,song_title,performer,style_id,is_representative,major,is_new_style
0,99.4,3/4,1,1958,0,0.1345447362133284,591,One Summer Night,The Danleers,3,0,1,0
1,83.4,4/4,1,1958,1,0.05832907386498683,961,Light Of Love,Peggy Lee,2,0,1,0
2,86.1,4/4,0,1958,2,0.12184970235189761,856,Look Who's Blue,Don Gibson,1,0,1,1
3,101.3,3/4,1,1963,0,0.13338142528113076,550,Young Lovers,Paul and Paula,3,0,1,0
4,89.1,4/4,0,1963,1,0.10070495275412991,1193,Pleasant Valley Sunday,The Monkees,1,0,1,1
5,90.7,4/4,1,1963,2,0.03940552005575377,1385,How Can I Forget,Ben E. King,2,0,1,0
6,97.5,3/4,1,1968,0,0.07568270869171549,273,Tiny Dancer,Elton John,3,0,1,0
7,92.3,4/4,0,1968,1,0.042955844779337005,1340,Jumbo,Bee Gees,1,0,1,1
8,99.4,3/4,0,1968,2,0.09286839651708088,232,Out In The Country,Three Dog Night,5,0,0,1
9,92.3,4/4,1,1968,3,0.04525251179533014,939,Apologize,Ed Ames,2,0,1,0
10,90.7,3/4,0,1973,0,0.10412826185157863,140,Listen To The Buddha,Ozo,5,0,0,1
11,86.1,4/4,1,1973,1,0.04177069182671736,665,Behind Closed Doors,Charlie Rich,2,0,1,0
12,97.5,4/4,0,1973,2,0.04202249270014392,1305,Ain't Nothing Like The Real Thing,Donny & Marie Osmond,1,0,1,1
13,95.7,3/4,1,1973,3,0.08231069040043591,134,Rock 'N Roll (I Gave You The Best Years of My Life),Kevin Johnson,3,0,1,0
14,89.1,4/4,1,1978,0,0.035110719505700765,613,It's Late,Queen,2,1,1,0
15,117.5,4/4,0,1978,1,0.03491982746795419,577,The Very Best In You,Change,4,0,0,0
16,64.6,4/4,0,1978,2,0.04933348931781435,592,The Wanderer,Leif Garrett,1,0,1,1
17,94.0,3/4,1,1978,3,0.09213211822497101,107,On The Way To The Sky,Neil Diamond,3,0,1,0
18,97.5,3/4,0,1978,4,0.05710827675100178,103,Sweetheart,Franke & The Knockouts,5,1,0,1
19,110.0,4/4,0,1983,0,0.04730070140070704,688,The Honeythief,Hipsway,4,0,0,0
20,82.0,4/4,1,1983,1,0.08803875648171267,478,(You Can Still) Rock In America,Night Ranger,2,0,1,0
21,63.0,4/4,0,1983,2,0.03815818698359812,614,The Blues,Randy Newman & Paul Simon,1,0,1,1
22,69.8,3/4,0,1983,3,0.12556437254516978,110,Escalator Of Life,Robert Hazard,5,0,0,1
23,94.0,3/4,0,1988,0,0.08845998941082817,70,Silent Lucidity,Queensryche,5,0,0,1
24,107.7,4/4,0,1988,1,0.029687396005819364,765,Buffalo Stance,Neneh Cherry,1,1,1,1
25,61.5,4/4,0,1988,2,0.031634428661833545,457,What You See Is What You Get,Brenda K. Starr,4,1,0,0
26,90.7,3/4,1,1988,3,0.12025676561915098,53,Black Velvet,Alannah Myles,3,0,1,0
27,80.7,4/4,1,1988,4,0.04651259801185838,362,Going Home,Kenny G,2,0,1,0
28,92.3,3/4,0,1993,0,0.08568609474841549,63,Never Find Someone Like You,Keith Martin,5,0,0,1
29,95.7,4/4,0,1993,1,0.040695572114074006,968,Murder She Wrote,Chaka Demus & Pliers,1,0,1,1
30,86.1,4/4,1,1993,2,0.04677830701001022,286,I Should Be Laughing,Patty Smyth,2,0,1,0
31,92.3,3/4,1,1993,3,0.0507904208070638,55,Come With Me,Shai,3,1,1,0
32,101.3,3/4,0,1998,0,0.09507020805839428,58,Put Me Down,Donell Jones,5,0,0,1
33,95.7,4/4,0,1998,1,0.03405114677817047,952,Reality,Elusion,1,0,1,1
34,84.7,3/4,1,1998,2,0.08236278465946073,49,Fly (The Angel Song),The Wilkinsons,3,0,1,0
35,90.7,4/4,1,1998,3,0.039871360639674835,423,Lost In You,Garth Brooks as Chris Gaines,2,0,1,0
36,95.7,4/4,0,2003,0,0.03935706113973102,967,X Gon' Give It To Ya,DMX,1,0,1,1
37,101.3,3/4,0,2003,1,0.08499731073464255,67,How You Want That,Loon Featuring Kelis,5,0,0,1
38,90.7,3/4,1,2003,2,0.07695655363822343,66,Flashing Lights,Kanye West Featuring Dwele,3,0,1,0
39,89.1,4/4,1,2003,3,0.03875633297568575,514,Chrome,Trace Adkins,2,0,1,0
40,97.5,3/4,0,2008,0,0.07854089183823115,123,My Apocalypse,Metallica,5,0,0,1
41,92.3,4/4,0,2008,1,0.034760557771146665,1119,I Won't Tell,Fat Joe Featuring J. Holiday,1,0,1,1
42,86.1,4/4,1,2008,2,0.04089026654091058,697,She's Country,Jason Aldean,2,0,1,0
43,95.7,3/4,1,2008,3,0.07564985360504263,128,Pure Imagination,Glee Cast,3,0,1,0
44,103.4,3/4,0,2013,0,0.07137595893365874,148,Bruises,Train Featuring Ashley Monroe,5,0,0,1
45,86.1,4/4,1,2013,1,0.051734366305741034,558,Demons,Imagine Dragons,2,0,1,0
46,97.5,3/4,1,2013,2,0.09099567883163574,122,Make It Rain,Ed Sheeran,3,0,1,0
47,95.7,4/4,0,2013,3,0.04226484115869845,1102,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,1,0,1,1
