,bucket_year,style_id,Unnamed: 0,tempo_bpm,time_signature,swing,cluster_id,intra_sd,cluster_size,song_title,performer,is_representative,major,is_new_style,rhythm_regular,rep_source
0,1958,3,0.0,99.4,3/4,1.0,0.0,0.1345447362133284,591.0,One Summer Night,The Danleers,0.0,1.0,0.0,0.0,medoid
1,1958,2,1.0,83.4,4/4,1.0,1.0,0.0583290738649868,961.0,Light Of Love,Peggy Lee,0.0,1.0,0.0,1.0,medoid
2,1958,1,2.0,86.1,4/4,0.0,2.0,0.1218497023518976,856.0,Look Who's Blue,Don Gibson,0.0,1.0,1.0,1.0,medoid
3,1958,5,,99.4,3/4,0.0,,,201.0,Blue Boy,Jim Reeves,,,,,top1
4,1958,4,,117.5,4/4,0.0,,,299.0,Cannonball,Duane Eddy His Twangy Guitar And The Rebels,,,,,top1
5,1963,3,3.0,101.3,3/4,1.0,0.0,0.1333814252811307,550.0,Young Lovers,Paul and Paula,0.0,1.0,0.0,0.0,medoid
6,1963,2,5.0,90.7,4/4,1.0,2.0,0.0394055200557537,1385.0,How Can I Forget,Ben E. King,0.0,1.0,0.0,1.0,medoid
7,1963,1,4.0,89.1,4/4,0.0,1.0,0.1007049527541299,1193.0,Pleasant Valley Sunday,The Monkees,0.0,1.0,1.0,1.0,medoid
8,1963,5,,99.4,3/4,0.0,,,200.0,Since I Found A New Love,Little Johnny Taylor,,,,,top1
9,1963,4,,117.5,4/4,0.0,,,490.0,One Fine Day,The Chiffons,,,,,top1
10,1968,3,6.0,97.5,3/4,1.0,0.0,0.0756827086917154,273.0,Tiny Dancer,Elton John,0.0,1.0,0.0,0.0,medoid
11,1968,2,9.0,92.3,4/4,1.0,3.0,0.0452525117953301,939.0,Apologize,Ed Ames,0.0,1.0,0.0,1.0,medoid
12,1968,1,7.0,92.3,4/4,0.0,1.0,0.042955844779337,1340.0,Jumbo,Bee Gees,0.0,1.0,1.0,1.0,medoid
13,1968,5,8.0,99.4,3/4,0.0,2.0,0.0928683965170808,232.0,Out In The Country,Three Dog Night,0.0,0.0,1.0,0.0,medoid
14,1968,4,,117.5,4/4,0.0,,,581.0,Looking For A Fox,Clarence Carter,,,,,top1
15,1973,3,13.0,95.7,3/4,1.0,3.0,0.0823106904004359,134.0,Rock 'N Roll (I Gave You The Best Years of My Life),Kevin Johnson,0.0,1.0,0.0,0.0,medoid
16,1973,2,11.0,86.1,4/4,1.0,1.0,0.0417706918267173,665.0,Behind Closed Doors,Charlie Rich,0.0,1.0,0.0,1.0,medoid
17,1973,1,12.0,97.5,4/4,0.0,2.0,0.0420224927001439,1305.0,Ain't Nothing Like The Real Thing,Donny & Marie Osmond,0.0,1.0,1.0,1.0,medoid
18,1973,5,10.0,90.7,3/4,0.0,0.0,0.1041282618515786,140.0,Listen To The Buddha,Ozo,0.0,0.0,1.0,0.0,medoid
