,instrument_count,timbre_brightness,acoustic,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,bucket_year,cluster_id,intra_sd,cluster_size,song_title,performer,style_id,is_representative,major,is_new_style
0,3.0,0.0305168479681015,0.7931199446513639,0.422,0.196,0.0359,0.872,1.16e-06,0.118,0.393,-12.089,1958,0,0.034785987333726516,547,Three Steps From The Altar,Shep And The Limelites,5,0,1,0
1,5.0,0.1308843195438385,0.7366275301819966,0.637,0.693,0.0356,0.714,1.23e-05,0.174,0.964,-7.168,1958,1,0.041520950093988575,598,Pretty Girls Everywhere,Eugene Church and The Fellows,4,1,1,0
2,4.0,0.1161273345351219,0.7372343472697956,0.54,0.452,0.0365,0.722,3.3e-06,0.15,0.697,-10.681,1958,2,0.04492775962254521,1263,Why'd You Wanna Make Me Cry,Connie Stevens,3,0,1,0
3,5.0,0.2440034747123718,0.5983574161082932,0.549,0.73,0.0405,0.271,0.000496,0.136,0.914,-8.721,1963,0,0.0383404516634547,799,Let The Good Times Roll,Roy Orbison,1,0,1,1
4,3.0,0.0571665912866592,0.7872636302464794,0.362,0.34,0.0281,0.786,0.0,0.161,0.348,-11.002,1963,1,0.034391105502936684,672,Turn The World Around,Eddy Arnold,5,0,1,0
5,5.0,0.1431356817483902,0.7490307176559512,0.541,0.529,0.0363,0.546,1.525e-06,0.156,0.7055,-9.824,1963,2,0.03870091425952316,1657,Antony And Cleopatra Theme,Ferrante & Teicher,4,0,1,0
6,5.0,0.1521435678005218,0.6783958816337584,0.54,0.533,0.037,0.386,3.13e-05,0.14,0.68,-10.487,1968,0,0.04320589554565875,1433,"Ob-La-Di, Ob-La-Da",Arthur Conley,3,0,1,0
7,5.0,0.2494849413633346,0.8058856008160991,0.576,0.716,0.0465,0.147,6.65e-06,0.131,0.881,-7.377,1968,1,0.03897851164927724,702,"My Man, A Sweet Man",Millie Jackson,4,0,1,0
8,3.0,0.0521995574235916,0.7920180894289779,0.412,0.383,0.0319,0.724,0.00245,0.0904,0.407,-11.39,1968,2,0.03573225005495604,649,Purple Haze,Dion,5,1,1,0
9,5.0,0.1097355037927627,0.761263316946933,0.43,0.41,0.0305,0.646,1.58e-05,0.0975,0.367,-10.349,1973,0,0.03527274169399553,529,Devil In The Bottle,T.G. Sheppard,5,0,1,0
10,4.0,0.2493886649608612,0.5897945645347666,0.672,0.741,0.0431,0.0927,1.98e-06,0.103,0.864,-8.577,1973,1,0.03698478406320977,691,Eyes Of Silver,The Doobie Brothers,1,0,1,1
11,6.0,0.1367692351341247,0.6971648558700916,0.59,0.605,0.0394,0.281,9.45e-05,0.127,0.712,-10.169,1973,2,0.0383645387933256,1024,I'll Be Holding On,Al Downing,3,0,1,0
12,5.0,0.1237553060054779,0.5402679960840839,0.625,0.616,0.0377,0.172,7.290000000000001e-05,0.116,0.717,-9.878499999999999,1978,0,0.03762971477857039,955,I'm So Glad I'm Standing Here Today,The Crusaders With Joe Cocker,1,0,1,1
13,3.0,0.0597312040627002,0.7078708768100049,0.457,0.328,0.0345,0.495,1.13e-05,0.0624,0.329,-11.928,1978,1,0.03058383835699844,395,Lady,Little River Band,5,0,1,0
14,3.0,0.1799394935369491,0.6771648485874983,0.686,0.769,0.0348,0.0619,0.000187,0.0975,0.875,-9.04,1978,2,0.03294647469249664,642,Warm Ride,Rare Earth,2,0,1,1
15,4.0,0.1062805578112602,0.6787710688652653,0.543,0.504,0.0443,0.35,0.0,0.114,0.29,-9.726,1983,0,0.02790170623491088,290,Too Young,Jack Wagner,3,1,1,0
16,5.0,0.0860022753477096,0.6835630640177947,0.751,0.639,0.0361,0.0849,0.000586,0.0763,0.875,-11.497,1983,1,0.027206967484974576,479,Give Me The Reason,Luther Vandross,2,0,1,1
17,3.0,0.2768374681472778,0.4370184620004553,0.59,0.85,0.0589,0.0392,5.73e-06,0.248,0.566,-4.271,1983,2,0.026584799495559478,345,Missionary Man,Eurythmics,7,0,0,1
18,4.0,0.2029413729906082,0.5566417947460133,0.643,0.706,0.0378,0.102,7.3e-05,0.1205,0.715,-9.5855,1983,3,0.03136276417493355,776,Baby I'm Hooked,ConFunkShun,1,1,1,1
19,3.0,0.1943470686674118,0.6229740016798377,0.719,0.77,0.0375,0.0538,0.0,0.0818,0.846,-7.429,1988,0,0.026350476150036307,484,I Want You,Jody Watley,1,0,1,1
20,4.0,0.1310712397098541,0.6597993775940829,0.6455,0.703,0.0387,0.07995,5.9949999999999994e-05,0.117,0.646,-9.837,1988,1,0.03448784503287406,618,Just Another Dream,Cathy Dennis,2,1,1,1
21,3.0,0.3021994531154632,0.3351080508901827,0.564,0.888,0.0325,0.0109,6.68e-05,0.177,0.526,-6.763,1988,2,0.029809293606229213,259,Let's Get Rocked,Def Leppard,7,0,0,1
22,3.0,0.1091955229640007,0.5891720661976201,0.48,0.535,0.0324,0.371,0.0,0.0929,0.293,-10.232,1988,3,0.03295342255752059,346,Wind Of Change,Scorpions,6,0,0,1
23,4.0,0.0856487527489662,0.5236903560997004,0.677,0.651,0.042,0.0838,1.34e-05,0.125,0.596,-8.159,1993,0,0.03626956009979534,666,On My Own,Peach Union,2,0,1,1
24,5.0,0.065982200205326,0.7522845102171493,0.547,0.457,0.0293,0.46,0.0,0.122,0.298,-9.872,1993,1,0.02905051061721829,244,Hopelessly,Rick Astley,3,0,1,0
25,3.0,0.210282951593399,0.6206892181020112,0.647,0.755,0.0347,0.0573,1.35e-06,0.104,0.774,-6.328,1993,2,0.032472494304995755,462,Hook,Blues Traveler,1,0,1,1
26,5.0,0.1726389676332473,0.4716621392047157,0.737,0.817,0.0508,0.0577,0.0,0.118,0.751,-4.246,1998,0,0.027705259078988298,469,I Keep Looking,Sara Evans,2,0,1,1
27,5.0,0.0705455541610717,0.615045186014676,0.592,0.49,0.0241,0.489,0.0,0.0967,0.29,-8.053,1998,1,0.03154453309935544,282,Let Me Let Go,Faith Hill,6,1,0,1
28,3.0,0.1476978659629821,0.614354350892063,0.655,0.694,0.0453,0.09475,0.0,0.12,0.587,-6.253,1998,2,0.033706177788810084,731,Do You,Funkmaster Flex Featuring DMX,1,0,1,1
29,3.0,0.2436144798994064,0.4075547747044032,0.5,0.845,0.0369,0.00184,0.0,0.106,0.539,-5.015,2003,0,0.029595943299878476,415,On The Way Down,Ryan Cabrera,7,1,0,1
30,4.0,0.1345510184764862,0.7128716530957624,0.623,0.738,0.0522,0.0724,0.0,0.131,0.555,-5.359,2003,1,0.030951246192883856,616,Hey Good Lookin',"Jimmy Buffett With Clint Black, Kenny Chesney, Alan Jackson, Toby Keith & George Strait",2,0,1,1
31,7.0,0.188186690211296,0.5245404263284132,0.873,0.743,0.209,0.17,0.0,0.135,0.774,-5.197,2003,2,0.025567585013589373,254,Let's Ride,The Game,8,1,0,1
32,4.0,0.0800304263830185,0.5951733373632973,0.59,0.562,0.029,0.327,0.0,0.135,0.271,-5.8,2003,3,0.0312449182728297,329,The Riddle,Five For Fighting,6,0,0,1
33,4.0,0.2199389934539795,0.5433381541571327,0.599,0.753,0.0493,0.0625,0.0,0.14,0.504,-5.17,2008,0,0.03172638462008793,1007,5-1-5-0,Dierks Bentley,1,0,1,1
34,5.0,0.0422163382172584,0.7096013144757335,0.549,0.492,0.0288,0.367,0.0,0.11,0.327,-7.141,2008,1,0.03255988282025927,434,The Trouble With Girls,Scotty McCreery,6,0,0,1
35,3.0,0.1449758261442184,0.6542131085921727,0.707,0.813,0.0571,0.0863,0.0,0.168,0.722,-4.515,2008,2,0.02715257305774506,626,Disturbia,Rihanna,2,0,1,1
36,4.0,0.0541070140898227,0.5944423327296381,0.646,0.431,0.0262,0.637,6.99e-06,0.113,0.292,-8.517,2013,0,0.030961310008517477,312,Bright,Echosmith,3,0,1,0
37,3.0,0.0708022192120552,0.6182540709438892,0.64,0.681,0.05715,0.07855000000000001,0.0,0.1245,0.4625,-5.826499999999999,2013,1,0.0317648121165253,1071,Holy Grail,Jay Z Featuring Justin Timberlake,2,0,1,1
38,3.0,0.2204185426235199,0.586522745776459,0.594,0.824,0.0458,0.0617,0.0,0.0861,0.671,-4.252,2013,2,0.030548087748323953,547,Heartache On The Dance Floor,Jon Pardi,1,0,1,1
